"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","shareUpDown"
"426","shareUpDown","0111","23110","2000",0
"426","shareUpDown","0111","23110","2001",0
"426","shareUpDown","0111","23110","2002",0
"426","shareUpDown","0111","23110","2003",0
"426","shareUpDown","0111","23110","2004",0
"426","shareUpDown","0111","23110","2005",0
"426","shareUpDown","0111","23110","2006",0
"426","shareUpDown","0111","23110","2007",0
"426","shareUpDown","0111","23110","2008",0
"426","shareUpDown","0111","23110","2009",0
"426","shareUpDown","0111","23110","2010",1
"426","shareUpDown","0111","23110","2011",1
"426","shareUpDown","0111","23110","2012",1
"426","shareUpDown","0111","23110","2013",1
"426","shareUpDown","0111","23110","2014",1
"426","shareUpDown","0111","23110","2015",1
"426","shareUpDown","0111","23110","2016",1
"426","shareUpDown","0111","23110","2017",1
"426","shareUpDown","0111","23110","2018",1
"426","shareUpDown","0111","23110","2019",1
"426","shareUpDown","0111","23110","2020",1
"426","shareUpDown","0111","23110","2021",1
"426","shareUpDown","0111","23110","2022",1
"426","shareUpDown","0111","23110","2023",1
"426","shareUpDown","0111","23140.01","2022",1
"426","shareUpDown","0111","23140.01","2023",1
"426","shareUpDown","0111","24320","2022",0
"426","shareUpDown","0111","24320","2023",0
"426","shareUpDown","0111","39120.01","2000",0
"426","shareUpDown","0111","39120.01","2001",0
"426","shareUpDown","0111","39120.01","2002",0
"426","shareUpDown","0111","39120.01","2003",0
"426","shareUpDown","0111","39120.01","2004",0
"426","shareUpDown","0111","39120.01","2005",0
"426","shareUpDown","0111","39120.01","2006",0
"426","shareUpDown","0111","39120.01","2007",0
"426","shareUpDown","0111","39120.01","2008",0
"426","shareUpDown","0111","39120.01","2009",0
"426","shareUpDown","0111","39120.01","2010",1
"426","shareUpDown","0111","39120.01","2011",1
"426","shareUpDown","0111","39120.01","2012",1
"426","shareUpDown","0111","39120.01","2013",1
"426","shareUpDown","0111","39120.01","2014",1
"426","shareUpDown","0111","39120.01","2015",1
"426","shareUpDown","0111","39120.01","2016",1
"426","shareUpDown","0111","39120.01","2017",1
"426","shareUpDown","0111","39120.01","2018",1
"426","shareUpDown","0111","39120.01","2019",1
"426","shareUpDown","0111","39120.01","2020",1
"426","shareUpDown","0111","39120.01","2021",1
"426","shareUpDown","0111","39120.01","2022",1
"426","shareUpDown","0111","39120.01","2023",1
"426","shareUpDown","0112","23120.03","2000",0
"426","shareUpDown","0112","23120.03","2001",0
"426","shareUpDown","0112","23120.03","2002",0
"426","shareUpDown","0112","23120.03","2003",0
"426","shareUpDown","0112","23120.03","2004",0
"426","shareUpDown","0112","23120.03","2005",0
"426","shareUpDown","0112","23120.03","2006",0
"426","shareUpDown","0112","23120.03","2007",0
"426","shareUpDown","0112","23120.03","2008",0
"426","shareUpDown","0112","23120.03","2009",0
"426","shareUpDown","0112","23120.03","2010",1
"426","shareUpDown","0112","23120.03","2011",1
"426","shareUpDown","0112","23120.03","2012",1
"426","shareUpDown","0112","23120.03","2013",1
"426","shareUpDown","0112","23120.03","2014",1
"426","shareUpDown","0112","23120.03","2015",1
"426","shareUpDown","0112","23120.03","2016",1
"426","shareUpDown","0112","23120.03","2017",1
"426","shareUpDown","0112","23120.03","2018",1
"426","shareUpDown","0112","23120.03","2019",1
"426","shareUpDown","0112","23120.03","2020",1
"426","shareUpDown","0112","23120.03","2021",1
"426","shareUpDown","0112","23120.03","2022",1
"426","shareUpDown","0112","23120.03","2023",1
"426","shareUpDown","0112","23140.06","2022",1
"426","shareUpDown","0112","23140.06","2023",1
"426","shareUpDown","0112","39120.04","2000",0
