"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus","flagMethod"
"5910","2014","426","S2511",52885.5505265882,"I","s"
"5520","2014","426","S2511",6677.893224,"I","s"
"5141","2014","426","S2511",54989.4991379412,"I","s"
"5610","2014","426","S2511",139870.058323529,"I","s"
"5016","2014","426","S2511",7989.193883,"I","s"
"5510","2014","426","S2511",12592,"I","s"
"5525","2014","426","S2511",919.927658,"I","s"
"5071","2014","426","S2511",29000,"I","s"
"664","2014","426","S2511",228.693693738157,"I","s"
"674","2014","426","S2511",6.33519780682198,"I","s"
"684","2014","426","S2511",1.2504255076691,"I","s"
"5166","2014","426","S2511",-0.00610599998617545,"I","s"
"261","2014","426","S2511",173631.68140065,"I","s"
"271","2014","426","S2511",4809.88797384,"I","s"
"281","2014","426","S2511",949.363665495,"I","s"
"5910","2014","426","S2513",109.188,"I","s"
"5520","2014","426","S2513",0.140713,"I","s"
"5141","2014","426","S2513",375.771869639794,"I","s"
"5023","2014","426","S2513",2616.42857142857,"I","s"
"5610","2014","426","S2513",2397.992,"I","s"
"5016","2014","426","S2513",22.297187,"I","s"
"5510","2014","426","S2513",472.2865,"I","s"
"5525","2014","426","S2513",92.932749,"I","s"
"5071","2014","426","S2513",-346.266724,"I","s"
"664","2014","426","S2513",1.20497636504581,"I","s"
"674","2014","426","S2513",0.0332407273116086,"I","s"
"684","2014","426","S2513",0.00380883333778849,"I","s"
"5166","2014","426","S2513",0,"I","s"
"261","2014","426","S2513",914.8572,"I","s"
"271","2014","426","S2513",25.23744,"I","s"
"281","2014","426","S2513",2.89179,"I","s"
"5910","2014","426","S2514",7995.68648813916,"I","s"
"5520","2014","426","S2514",5066.974765,"I","s"
"5141","2014","426","S2514",265630.707663333,"I","s"
"5610","2014","426","S2514",196234.499555556,"I","s"
"5016","2014","426","S2514",4252.402398,"I","s"
"5510","2014","426","S2514",90072,"I","s"
"5525","2014","426","S2514",3363.559102,"I","s"
"5071","2014","426","S2514",0,"I","s"
"664","2014","426","S2514",1111.52878060323,"I","s"
"674","2014","426","S2514",29.283902718442,"I","s"
"684","2014","426","S2514",11.9654656268903,"I","s"
"5166","2014","426","S2514",-2.83086091699079,"I","s"
"261","2014","426","S2514",843908.75824641,"I","s"
"271","2014","426","S2514",22233.290231421,"I","s"
"281","2014","426","S2514",9084.570202086,"I","s"
"5141","2014","426","S2515",10.869,"I","s"
"5610","2014","426","S2515",10.869,"I","s"
"664","2014","426","S2515",0.0456673162503051,"I","s"
"674","2014","426","S2515",0.00157473504311397,"I","s"
"684","2014","426","S2515",0.00027199968926514,"I","s"
"5166","2014","426","S2515",0,"I","s"
"261","2014","426","S2515",34.67211,"I","s"
"271","2014","426","S2515",1.19559,"I","s"
"281","2014","426","S2515",0.206511,"I","s"
"5910","2014","426","S2516",0.0299218189070602,"I","s"
"5520","2014","426","S2516",0.204297,"I","s"
"5141","2014","426","S2516",375.819704826486,"I","s"
"5610","2014","426","S2516",66.065,"I","s"
"5016","2014","426","S2516",21.312876,"I","s"
"5510","2014","426","S2516",347.834915,"I","s"
"5525","2014","426","S2516",17.858339,"I","s"
"5071","2014","426","S2516",-1.328074,"I","s"
"664","2014","426","S2516",0.977879443606789,"I","s"
"674","2014","426","S2516",0.0312722867752425,"I","s"
"684","2014","426","S2516",0.0183662636616504,"I","s"
"5166","2014","426","S2516",0.00285035460711924,"I","s"
"261","2014","426","S2516",742.43784,"I","s"
"271","2014","426","S2516",23.742936,"I","s"
"281","2014","426","S2516",13.944264,"I","s"
"5520","2014","426","S2517",0.125664,"I","s"
"5141","2014","426","S2517",0.740336,"I","s"
"5610","2014","426","S2517",0.866,"I","s"
"664","2014","426","S2517",0.00331537763429604,"I","s"
"674","2014","426","S2517",0.0000945857736843281,"I","s"
"684","2014","426","S2517",0.000029253332067318,"I","s"
"5166","2014","426","S2517",0,"I","s"
"261","2014","426","S2517",2.5171424,"I","s"
"271","2014","426","S2517",0.071812592,"I","s"
"281","2014","426","S2517",0.02221008,"I","s"
"5910","2014","426","S2518",5.66235294117647,"I","s"
"5520","2014","426","S2518",2188.43228,"I","s"
"5141","2014","426","S2518",5684.19529411765,"I","s"
"5023","2014","426","S2518",938.167816781678,"I","s"
"5610","2014","426","S2518",385.005294117647,"I","s"
"5016","2014","426","S2518",236.055733,"I","s"
"5510","2014","426","S2518",5000,"I","s"
"5525","2014","426","S2518",64.428153,"I","s"
"5071","2014","426","S2518",-3731.936985,"I","s"
"664","2014","426","S2518",21.9549387431704,"I","s"
"674","2014","426","S2518",0.680921288556298,"I","s"
"684","2014","426","S2518",0.203640011530855,"I","s"
"5166","2014","426","S2518",0,"I","s"
"261","2014","426","S2518",16668.9027,"I","s"
"271","2014","426","S2518",516.977562,"I","s"
