"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","0111","5910","2014",52835.5209705882,"I","s"
"426","0112","5910","2014",7995.68648813916,"I","s"
"426","0113","5910","2014",1.925,"I","s"
"426","0114","5910","2014",5.66235294117647,"I","s"
"426","0115","5910","2014",0.049,"I","s"
"426","0117","5910","2014",0.0299218189070602,"I","s"
"426","01212","5910","2014",3,"I","s"
"426","01234","5910","2014",0.009617,"I","s"
"426","01235","5910","2014",0.74,"I","s"
"426","01241.90","5910","2014",1.1,"I","s"
"426","01242","5910","2014",0.459,"I","s"
"426","01243","5910","2014",0.845,"I","s"
"426","01252","5910","2014",0.005,"I","s"
"426","01270","5910","2014",0.97,"I","s"
"426","01290.90","5910","2014",5.0075,"I","s"
"426","01344.02","5910","2014",0.12,"I","s"
"426","01351.01","5910","2014",10,"I","s"
"426","01354","5910","2014",48,"I","s"
"426","01355.90","5910","2014",24,"I","s"
"426","01356","5910","2014",1.2,"I","s"
"426","01359.90","5910","2014",39.556,"I","s"
"426","01379.90","5910","2014",0.107,"I","s"
"426","0143","5910","2014",0.58,"I","s"
"426","01447","5910","2014",0.06,"I","s"
"426","01449.90","5910","2014",22,"I","s"
"426","01460","5910","2014",0.028771,"I","s"
"426","01510","5910","2014",5,"I","s"
"426","01610","5910","2014",5.646273,"I","s"
"426","01620","5910","2014",1.321,"I","s"
"426","01651","5910","2014",0.55,"I","s"
"426","01657","5910","2014",0.27,"I","s"
"426","01699","5910","2014",3.203,"I","s"
"426","01701","5910","2014",0.291861,"I","s"
"426","01704","5910","2014",0.225869,"I","s"
"426","01705","5910","2014",2.118561,"I","s"
"426","01709.90","5910","2014",10.000304,"I","s"
"426","01921.02","5910","2014",0,"I","s"
"426","01950.02","5910","2014",0.005183,"I","s"
"426","01970","5910","2014",0.089,"I","s"
"426","01990.01","5910","2014",5,"I","s"
"426","02211","5910","2014",832.130106,"I","s"
"426","0231","5910","2014",58.045,"I","s"
"426","02910","5910","2014",0.206272,"I","s"
"426","02941","5910","2014",1584.172,"I","s"
"426","02942.90","5910","2014",10,"I","s"
"426","02943.02","5910","2014",724.624,"I","s"
"426","02951.04","5910","2014",23.322,"I","s"
"426","02953.01","5910","2014",0.128,"I","s"
"426","02953.04","5910","2014",12.48,"I","s"
"426","02959.99","5910","2014",23.5,"I","s"
"426","17400","5910","2014",4.693,"I","s"
"426","21115","5910","2014",0.543,"I","s"
"426","21121","5910","2014",0.357,"I","s"
"426","21122","5910","2014",0.392,"I","s"
