"geographicAreaM49","measuredElement","measuredItemCPC","timePointYearsSP","Value"
"426","1061","0111","2014",1
"426","1061","0111","2015",1
"426","1061","0111","2016",1
"426","1061","0111","2017",1
"426","1061","0111","2018",1
"426","1061","0111","2019",1
"426","1061","0111","2020",1
"426","1061","0111","2021",1
"426","1061","0111","2022",1
"426","1061","0111","2023",1
"426","1061","0112","2014",1
"426","1061","0112","2015",1
"426","1061","0112","2016",1
"426","1061","0112","2017",1
"426","1061","0112","2018",1
"426","1061","0112","2019",1
"426","1061","0112","2020",1
"426","1061","0112","2021",1
"426","1061","0112","2022",1
"426","1061","0112","2023",1
"426","1061","0113","2014",0.77
"426","1061","0113","2015",0.77
"426","1061","0113","2016",0.77
"426","1061","0113","2017",0.77
"426","1061","0113","2018",0.77
"426","1061","0113","2019",0.77
"426","1061","0113","2020",0.77
"426","1061","0113","2021",0.77
"426","1061","0113","2022",0.77
"426","1061","0113","2023",0.77
"426","1061","0114","2014",1
"426","1061","0114","2015",1
"426","1061","0114","2016",1
"426","1061","0114","2017",1
"426","1061","0114","2018",1
"426","1061","0114","2019",1
"426","1061","0114","2020",1
"426","1061","0114","2021",1
"426","1061","0114","2022",1
"426","1061","0114","2023",1
"426","1061","0115","2014",0.86
"426","1061","0115","2015",0.86
"426","1061","0115","2016",0.86
"426","1061","0115","2017",0.86
"426","1061","0115","2018",0.86
"426","1061","0115","2019",0.86
"426","1061","0115","2020",0.86
"426","1061","0115","2021",0.86
"426","1061","0115","2022",0.86
"426","1061","0115","2023",0.86
"426","1061","0116","2014",1
"426","1061","0116","2015",1
"426","1061","0116","2016",1
"426","1061","0116","2017",1
"426","1061","0116","2018",1
"426","1061","0116","2019",1
"426","1061","0116","2020",1
"426","1061","0116","2021",1
"426","1061","0116","2022",1
"426","1061","0116","2023",1
"426","1061","0117","2014",0.85
"426","1061","0117","2015",0.85
"426","1061","0117","2016",0.85
"426","1061","0117","2017",0.85
"426","1061","0117","2018",0.85
"426","1061","0117","2019",0.85
"426","1061","0117","2020",0.85
"426","1061","0117","2021",0.85
"426","1061","0117","2022",0.85
"426","1061","0117","2023",0.85
"426","1061","0118","2014",1
