"geographicAreaM49","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"426","511","2000",2003.913,"X","h"
"426","511","2001",2000.853,"X","h"
"426","511","2002",1994.679,"X","h"
"426","511","2003",1985.0585,"X","h"
"426","511","2004",1971.129,"X","h"
"426","511","2005",1953.076,"X","h"
"426","511","2006",1945.0625,"X","h"
"426","511","2007",1953.2685,"X","h"
"426","511","2008",1966.5405,"X","h"
"426","511","2009",1980.883,"X","h"
"426","511","2010",1996.251,"X","h"
"426","511","2011",2014.009,"X","h"
"426","511","2012",2034.3545,"X","h"
"426","511","2013",2056.504,"X","h"
"426","511","2014",2080.089,"X","h"
"426","511","2015",2104.6115,"X","h"
"426","511","2016",2130.422,"X","h"
"426","511","2017",2157.1105,"X","h"
"426","511","2018",2183.603,"X","h"
"426","511","2019",2209.4055,"X","h"
"426","511","2020",2235.7265,"X","h"
"426","511","2021",2261.542,"X","h"
"426","511","2022",2286.1105,"X","h"
"426","511","2023",2311.472,"X","h"
