"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","Value","flagObservationStatus","flagMethod"
"426","extractionRate","0111","23110","2000",0.8,"T","-"
"426","share","0111","23110","2000",1,"E","-"
"426","extractionRate","0111","23140.01","2000",0.02,"E","t"
"426","share","0111","23140.01","2000",0,"E","t"
"426","extractionRate","0111","23140.02","2000",0,"E","t"
"426","share","0111","23140.02","2000",0,"E","t"
"426","extractionRate","0111","23140.03","2000",0,"E","t"
"426","share","0111","23140.03","2000",0,"E","t"
"426","extractionRate","0111","23140.08","2000",0,"E","t"
"426","share","0111","23140.08","2000",0,"E","t"
"426","extractionRate","0111","24110","2000",0,"E","t"
"426","share","0111","24110","2000",0,"E","t"
"426","extractionRate","0111","2413","2000",0,"E","t"
"426","share","0111","2413","2000",0,"E","t"
"426","extractionRate","0111","24320","2000",0.784445,"E","t"
"426","share","0111","24320","2000",0,"E","t"
"426","extractionRate","0111","39120.01","2000",0.18,"T","-"
"426","share","0111","39120.01","2000",1,"E","-"
"426","extractionRate","0112","23120.03","2000",0.9,"T","-"
"426","share","0112","23120.03","2000",1,"E","-"
"426","extractionRate","0112","23140.03","2000",0,"E","t"
"426","share","0112","23140.03","2000",0,"E","t"
"426","extractionRate","0112","23140.06","2000",0.05,"E","t"
"426","share","0112","23140.06","2000",0,"E","t"
"426","extractionRate","0112","23140.08","2000",0,"E","t"
"426","share","0112","23140.08","2000",0,"E","t"
"426","extractionRate","0112","23220.04","2000",0,"E","t"
"426","share","0112","23220.04","2000",0,"E","t"
"426","extractionRate","0112","24110","2000",0,"E","t"
"426","share","0112","24110","2000",0,"E","t"
"426","extractionRate","0112","2413","2000",0,"E","t"
"426","share","0112","2413","2000",0,"E","t"
"426","extractionRate","0112","24310.01","2000",0,"E","t"
"426","share","0112","24310.01","2000",0,"E","t"
"426","extractionRate","0112","24310.02","2000",0,"E","t"
"426","share","0112","24310.02","2000",0,"E","t"
"426","extractionRate","0112","39120.04","2000",0.05,"T","-"
"426","share","0112","39120.04","2000",1,"E","-"
"426","extractionRate","0112","39130.02","2000",0,"E","t"
"426","share","0112","39130.02","2000",0,"E","t"
"426","extractionRate","0113","23161.02","2000",0,"E","t"
"426","share","0113","23161.02","2000",0,"E","t"
"426","extractionRate","0113","23162","2000",0,"E","t"
"426","share","0113","23162","2000",0,"E","t"
"426","extractionRate","0113","39120.02","2000",0,"E","t"
"426","share","0113","39120.02","2000",0,"E","t"
"426","extractionRate","0114","23120.06","2000",0.85,"T","-"
"426","share","0114","23120.06","2000",1,"E","-"
"426","extractionRate","0114","2413","2000",0,"E","t"
"426","share","0114","2413","2000",0,"E","t"
"426","extractionRate","0114","24310.04","2000",4.9998,"T","-"
"426","share","0114","24310.04","2000",1,"E","-"
"426","extractionRate","0114","39120.08","2000",0.12,"T","-"
"426","share","0114","39120.08","2000",1,"E","-"
"426","extractionRate","0115","23140.04","2000",0.7019,"T","-"
"426","share","0115","23140.04","2000",1,"E","-"
"426","extractionRate","0115","23912.01","2000",0,"E","t"
"426","share","0115","23912.01","2000",0,"E","t"
"426","extractionRate","0115","2413","2000",0,"E","t"
"426","share","0115","2413","2000",0,"E","t"
"426","extractionRate","0115","24320","2000",0,"E","t"
"426","share","0115","24320","2000",0,"E","t"
"426","extractionRate","0115","39120.03","2000",0.2308,"T","-"
"426","share","0115","39120.03","2000",1,"E","-"
"426","extractionRate","0116","23120.04","2000",0,"E","t"
"426","share","0116","23120.04","2000",0,"E","t"
"426","extractionRate","0116","23140.03","2000",0,"E","t"
"426","share","0116","23140.03","2000",0,"E","t"
"426","extractionRate","0116","23140.08","2000",0,"E","t"
"426","share","0116","23140.08","2000",0,"E","t"
"426","extractionRate","0116","23912.01","2000",0,"E","t"
"426","share","0116","23912.01","2000",0,"E","t"
"426","extractionRate","0116","24110","2000",0,"E","t"
"426","share","0116","24110","2000",0,"E","t"
"426","extractionRate","0116","2413","2000",0,"E","t"
"426","share","0116","2413","2000",0,"E","t"
"426","extractionRate","0116","39120.05","2000",0,"E","t"
"426","share","0116","39120.05","2000",0,"E","t"
